AEM, Adobe Experience Manager
 AEO, American Eagle Outfitters 
 AFA, Air Force Academy 
 AFB, Air Force Base 
 AFI, Air Force Instruction 
 AFM, Air Force Manual 
 AFO, Air Force One 
 AFP, Agence France-Presse 
 AFS, American Field Service 
 AG, Attorney General 
 AGM, annual general meeting 
 AGP, Accelerated Graphics Port 
 AH, Anno Hegirae 
 AHS, American Horror Story 
 AI, artificial intelligence 
 AIA, American Institute of Architects 
 AICPA, American Institute of Certified Public Accountants 
 AIDS, Acquired Immune Deficiency Syndrome 
 AIG, American International Group 
 AIM, AOL Instant Messenger 
 AIP, Artificial Intelligence Platform 
 AIR, All India Radio 
 AIT, American Institute in Taiwan 
 AKA, also known as 
 AL, Alabama 
 ALA, American Library Association 
 ALJ, administrative law judge 
 AM, ante meridiem 
 AMA, American Medical Association 
 AMD, Advanced Micro Devices 
 AMEX, American Stock Exchange 
 AMF, Amplitude Modulation Frequency 
 AMG, Affalterbach, Germany 
 AMOLED, Active-Matrix Organic Light-Emitting Diode 
 AMR, Adaptive Multi-Rate 
 AMS, Amsterdam Schiphol Airport 
 AMT, alternative minimum tax 
 AN Airman's Note 
 ANPR, automatic number plate recognition 
 ANSI, American National Standards Institute 
 ANTM, America's Next Top Model 
 AO, Area of Operation 
 AOC, area of concern 
 AOD, Angle of Departure 
 AOE, Area of Effect 
 AOR, Area of Responsibility 
 AP, Associated Press 
 APA, American Psychological Association 
 APC, American Power Conversion 
 APL, A Programming Language 
 APN, Access Point Name 
 APO, Army Post Office 
 APP, application 
 APR, Annual Percentage Rate 
 APS, American Physical Society 
 APT, Advanced Persistent Threat 
 APU, Auxiliary Power Unit 
 AQ, Air Quality 
 AR, Augmented Reality 
 ARC, American Red Cross 
 AFAIK, as far as I know 
 AFK, away from keyboard 
 AMA, ask me anything 
 ASL, age/sex/location 
 ATB, all the best 
 ATM, automated teller machine 
 ATP, according to plan 
 AFAIR, as far as I remember 
 ADN, any day now 
 AOP, area of practice 
 AOD, all of the above 
